,order_id,product_id,order_item_cnt
102,R12448,P4,1
103,R12449,P5,4
104,R12450,P6,5
105,R12451,P7,1
106,R12452,P8,1
107,R12453,P0,4
108,R12454,P1,1
109,R12455,P2,5
110,R12456,P3,1
111,R12457,P4,5
112,R12458,P5,1
113,R12459,P6,4
114,R12460,P7,5
115,R12461,P8,4
116,R12462,P0,1
117,R12463,P1,1
118,R12464,P2,5
119,R12465,P3,5
120,R12466,P4,4
121,R12467,P5,4
122,R12468,P6,1
123,R12469,P7,1
124,R12470,P8,1
125,R12471,P0,1
126,R12472,P1,1
127,R12473,P2,5
128,R12474,P3,5
129,R12475,P4,1
130,R12476,P5,5
131,R12477,P6,1
132,R12478,P7,5
133,R12479,P8,1
134,R12480,P0,1
135,R12481,P1,4
136,R12482,P2,5
137,R12483,P3,5
138,R12484,P4,4
139,R12485,P5,5
140,R12486,P6,5
141,R12487,P7,4
142,R12488,P8,1
143,R12489,P0,5
144,R12490,P1,5
145,R12491,P2,1
146,R12492,P3,5
147,R12493,P4,1
148,R12494,P5,1
149,R12495,P6,4
150,R12496,P7,4
151,R12497,P8,1
152,R12498,P0,1
153,R12499,P1,5
154,R12500,P2,4
155,R12501,P3,1
156,R12502,P4,1
157,R12503,P5,1
158,R12504,P6,5
159,R12505,P7,1
160,R12506,P8,4
161,R12507,P0,1
162,R12508,P1,1
163,R12509,P2,4
164,R12510,P3,1
165,R12511,P4,5
166,R12512,P5,1
167,R12513,P6,5
168,R12514,P7,1
169,R12515,P8,4
170,R12516,P0,4
171,R12517,P1,4
172,R12518,P2,5
173,R12519,P3,5
174,R12520,P4,5
175,R12521,P5,1
176,R12522,P6,1
177,R12523,P7,1
178,R12524,P8,1
179,R12525,P0,5
180,R12526,P1,1
181,R12527,P2,5
182,R12528,P3,4
183,R12529,P4,4
184,R12530,P5,1
185,R12531,P6,5
186,R12532,P7,1
187,R12533,P8,5
188,R12534,P0,1
189,R12535,P1,4
190,R12536,P2,1
191,R12537,P3,1
192,R12538,P4,5
193,R12539,P5,1
194,R12540,P6,1
195,R12541,P7,1
196,R12542,P8,1
197,R12543,P0,1
198,R12544,P1,1
199,R12545,P2,1
200,R12546,P3,4
201,R12547,P4,1
202,R12548,P5,1
203,R12549,P6,1
204,R12550,P7,1
205,R12551,P8,1
206,R12552,P0,5
207,R12553,P1,1
208,R12554,P2,4
209,R12555,P3,1
210,R12556,P4,5
211,R12557,P5,4
212,R12558,P6,5
213,R12559,P7,1
214,R12560,P8,5
215,R12561,P0,1
216,R12562,P1,5
217,R12563,P2,1
218,R12564,P3,5
219,R12565,P4,4
220,R12566,P5,1
221,R12567,P6,1
222,R12568,P7,1
223,R12569,P8,5
224,R12570,P0,1
225,R12571,P1,4
226,R12572,P2,1
227,R12573,P3,1
228,R12574,P4,4
229,R12575,P5,4
230,R12576,P6,1
231,R12577,P7,1
232,R12578,P8,5
233,R12579,P0,1
234,R12580,P1,1
235,R12581,P2,1
236,R12582,P3,4
237,R12583,P4,4
238,R12584,P5,1
239,R12585,P6,5
240,R12586,P7,1
241,R12587,P8,1
242,R12588,P0,5
243,R12589,P1,1
244,R12590,P2,1
245,R12591,P3,5
246,R12592,P4,4
247,R12593,P5,1
248,R12594,P6,1
249,R12595,P7,1
250,R12596,P8,5
251,R12597,P0,4
252,R12598,P1,5
253,R12599,P2,4
254,R12600,P3,1
255,R12601,P4,5
256,R12602,P5,1
257,R12603,P6,1
258,R12604,P7,5
259,R12605,P8,1
260,R12606,P0,1
261,R12607,P1,5
262,R12608,P2,1
263,R12609,P3,1
264,R12610,P4,5
265,R12611,P5,1
266,R12612,P6,1
267,R12613,P7,1
268,R12614,P8,1
269,R12615,P0,4
270,R12616,P1,4
271,R12617,P2,4
272,R12618,P3,1
273,R12619,P4,1
274,R12620,P5,1
275,R12621,P6,1
276,R12622,P7,4
277,R12623,P8,4
278,R12624,P0,1
279,R12625,P1,4
280,R12626,P2,1
281,R12627,P3,5
282,R12628,P4,1
283,R12629,P5,1
284,R12630,P6,1
285,R12631,P7,1
286,R12632,P8,4
287,R12633,P0,5
288,R12634,P1,5
289,R12635,P2,1
290,R12636,P3,1
291,R12637,P4,1
292,R12638,P5,1
293,R12639,P6,4
294,R12640,P7,5
295,R12641,P8,1
296,R12642,P0,5
297,R12643,P1,5
298,R12644,P2,1
299,R12645,P3,1
300,R12646,P4,1
301,R12647,P5,4
302,R12648,P6,1
303,R12649,P7,4
304,R12650,P8,5
305,R12651,P0,5
306,R12652,P1,4
307,R12653,P2,1
308,R12654,P3,4
309,R12655,P4,1
310,R12656,P5,1
311,R12657,P6,4
312,R12658,P7,1
313,R12659,P8,1
314,R12660,P0,1
315,R12661,P1,1
316,R12662,P2,1
317,R12663,P3,1
318,R12664,P4,1
319,R12665,P5,1
320,R12667,P7,1
321,R12668,P8,5
322,R12669,P0,4
323,R12670,P1,1
324,R12671,P2,5
325,R12672,P3,1
326,R12673,P4,4
327,R12674,P5,1
328,R12675,P6,1
329,R12676,P7,1
330,R12677,P8,1
331,R12678,P0,1
332,R12679,P1,4
333,R12680,P2,1
334,R12681,P3,1
335,R12682,P4,4
336,R12683,P5,1
337,R12684,P6,1
338,R12685,P7,1
339,R12686,P8,4
340,R12687,P0,4
341,R12688,P1,1
342,R12689,P2,1
343,R12690,P3,4
344,R12691,P4,1
345,R12692,P5,1
346,R12693,P6,1
347,R12694,P7,1
348,R12695,P8,5
349,R12696,P0,4
350,R12697,P1,1
351,R12698,P2,5
352,R12699,P3,1
353,R12700,P4,1
354,R12701,P5,1
355,R12702,P6,5
356,R12703,P7,1
357,R12704,P8,1
358,R12705,P0,1
359,R12706,P1,1
360,R12707,P2,5
361,R12708,P3,4
362,R12709,P4,5
363,R12710,P5,1
364,R12711,P6,1
365,R12712,P7,5
366,R12713,P8,4
367,R12714,P0,5
368,R12715,P1,4
369,R12716,P2,1
370,R12717,P3,5
371,R12718,P4,5
372,R12719,P5,1
373,R12720,P6,5
374,R12721,P7,4
375,R12722,P8,4
376,R12723,P0,1
377,R12724,P1,4
378,R12725,P2,1
379,R12726,P3,1
380,R12727,P4,1
381,R12728,P5,5
382,R12729,P6,1
383,R12730,P7,1
384,R12731,P8,5
385,R12732,P0,1
386,R12733,P1,4
387,R12734,P2,1
388,R12735,P3,1
389,R12736,P4,5
390,R12737,P5,1
391,R12738,P6,1
392,R12739,P7,1
393,R12740,P8,1
394,R12741,P0,5
395,R12742,P1,1
396,R12743,P2,1
397,R12744,P3,1
398,R12745,P4,1
399,R12746,P5,4
400,R12747,P6,4
401,R12748,P7,1
402,R12749,P8,1
403,R12750,P0,1
404,R12751,P1,1
405,R12752,P2,1
406,R12753,P3,5
407,R12754,P4,5
408,R12755,P5,1
409,R12756,P6,1
410,R12757,P7,1
411,R12758,P8,4
412,R12759,P0,1
413,R12760,P1,1
414,R12761,P2,1
415,R12762,P3,1
416,R12763,P4,1
417,R12764,P5,1
418,R12765,P6,4
419,R12766,P7,1
420,R12767,P8,4
421,R12768,P0,5
422,R12769,P1,4
423,R12770,P2,1
424,R12771,P3,4
425,R12772,P4,5
426,R12773,P5,1
427,R12774,P6,1
428,R12775,P7,1
429,R12776,P8,1
430,R12777,P0,1
431,R12778,P1,1
432,R12779,P2,4
433,R12780,P3,5
434,R12781,P4,1
435,R12782,P5,5
436,R12783,P6,1
437,R12784,P7,1
438,R12785,P8,1
439,R12786,P0,1
440,R12787,P1,1
441,R12788,P2,1
442,R12789,P3,1
443,R12790,P4,4
444,R12791,P5,1
445,R12792,P6,1
446,R12793,P7,4
447,R12794,P8,1
448,R12795,P0,5
449,R12796,P1,1
450,R12797,P2,4
451,R12798,P3,1
452,R12799,P4,5
453,R12800,P5,1
454,R12801,P6,1
455,R12802,P7,1
456,R12803,P8,4
457,R12804,P0,4
458,R12805,P1,5
459,R12806,P2,5
460,R12807,P3,5
461,R12808,P4,1
462,R12809,P5,4
463,R12810,P6,1
464,R12811,P7,1
465,R12812,P8,1
466,R12813,P0,4
467,R12814,P1,5
468,R12815,P2,1
469,R12816,P3,1
470,R12817,P4,1
471,R12818,P5,1
472,R12819,P6,1
473,R12820,P7,4
474,R12821,P8,1
475,R12822,P0,1
476,R12823,P1,4
477,R12824,P2,5
478,R12825,P3,1
479,R12826,P4,1
480,R12827,P5,1
481,R12828,P6,5
482,R12829,P7,1
483,R12830,P8,1
484,R12831,P0,1
485,R12832,P1,1
486,R12833,P2,1
487,R12834,P3,1
488,R12835,P4,1
489,R12836,P5,1
490,R12837,P6,4
491,R12838,P7,5
492,R12839,P8,5
493,R12840,P0,4
494,R12841,P1,1
495,R12842,P2,5
496,R12843,P3,1
497,R12844,P4,5
498,R12845,P5,1
499,R12846,P6,5
500,R12847,P7,5
501,R12848,P8,1
502,R12849,P0,5
503,R12850,P1,1
504,R12851,P2,4
505,R12852,P3,1
506,R12853,P4,5
507,R12854,P5,1
508,R12855,P6,4
509,R12856,P7,4
510,R12857,P8,5
511,R12858,P0,4
512,R12859,P1,5
513,R12860,P2,4
514,R12861,P3,5
515,R12862,P4,1
516,R12863,P5,4
517,R12864,P6,5
518,R12865,P7,1
519,R12866,P8,4
520,R12867,P0,1
521,R12868,P1,5
522,R12869,P2,5
523,R12870,P3,1
524,R12871,P4,1
525,R12872,P5,1
526,R12873,P6,1
527,R12874,P7,1
528,R12875,P8,1
529,R12876,P0,1
530,R12877,P1,1
531,R12878,P2,1
532,R12879,P3,4
533,R12880,P4,4
534,R12881,P5,4
535,R12882,P6,5
536,R12883,P7,4
537,R12884,P8,1
538,R12885,P0,1
539,R12886,P1,4
540,R12887,P2,1
541,R12888,P3,5
542,R12889,P4,1
543,R12890,P5,5
544,R12891,P6,1
545,R12892,P7,4
546,R12893,P8,5
547,R12894,P0,5
548,R12895,P1,1
549,R12896,P2,1
550,R12897,P3,5
551,R12898,P4,4
552,R12899,P5,4
553,R12900,P6,1
554,R12901,P7,5
555,R12902,P8,1
556,R12903,P0,5
557,R12904,P1,1
558,R12905,P2,4
559,R12906,P3,1
560,R12907,P4,1
561,R12908,P5,1
562,R12909,P6,4
563,R12910,P7,4
564,R12911,P8,5
565,R12912,P0,1
566,R12913,P1,1
567,R12914,P2,4
568,R12915,P3,5
569,R12916,P4,4
570,R12917,P5,1
571,R12918,P6,4
572,R12919,P7,4
573,R12920,P8,1
574,R12921,P0,4
575,R12922,P1,5
576,R12923,P2,4
577,R12924,P3,1
578,R12925,P4,4
579,R12926,P5,5
580,R12927,P6,1
581,R12928,P7,1
582,R12929,P8,4
583,R12930,P0,1
584,R12931,P1,1
585,R12932,P2,4
586,R12933,P3,1
587,R12934,P4,1
588,R12935,P5,1
589,R12936,P6,4
590,R12937,P7,1
591,R12938,P8,5
592,R12939,P0,5
593,R12940,P1,5
594,R12941,P2,1
595,R12942,P3,1
596,R12943,P4,5
597,R12944,P5,1
598,R12945,P6,1
599,R12946,P7,1
600,R12947,P8,5
601,R12948,P0,1
602,R12949,P1,1
603,R12950,P2,1
604,R12951,P3,1
605,R12952,P4,5
606,R12953,P5,1
607,R12954,P6,1
608,R12955,P7,5
609,R12956,P8,1
610,R12957,P0,1
611,R12958,P1,5
612,R12959,P2,1
613,R12960,P3,1
614,R12961,P4,1
615,R12962,P5,4
616,R12963,P6,5
617,R12964,P7,1
618,R12965,P8,1
619,R12966,P0,5
620,R12967,P1,4
621,R12968,P2,5
622,R12969,P3,1
623,R12970,P4,4
624,R12971,P5,4
625,R12972,P6,4
626,R12973,P7,5
627,R12974,P8,1
628,R12975,P0,1
629,R12976,P1,1
630,R12977,P2,1
631,R12978,P3,4
632,R12979,P4,5
633,R12980,P5,1
634,R12981,P6,1
635,R12982,P7,4
636,R12983,P8,1
637,R12984,P0,1
638,R12985,P1,5
639,R12986,P2,1
640,R12987,P3,5
641,R12988,P4,1
642,R12989,P5,4
643,R12990,P6,1
644,R12991,P7,1
645,R12992,P8,1
646,R12993,P0,4
647,R12994,P1,1
648,R12995,P2,5
649,R12996,P3,1
650,R12997,P4,1
651,R12998,P5,1
652,R12999,P6,1
653,R13000,P7,1
654,R13001,P8,5
655,R13002,P0,1
656,R13003,P1,1
657,R13004,P2,4
658,R13005,P3,1
659,R13006,P4,4
660,R13007,P5,1
661,R13008,P6,1
662,R13009,P7,4
663,R13010,P8,4
664,R13011,P0,1
665,R13012,P1,1
666,R13013,P2,1
667,R13014,P3,1
668,R13015,P4,1
669,R13016,P5,1
670,R13017,P6,1
671,R13018,P7,4
672,R13019,P8,4
673,R13020,P0,1
674,R13021,P1,5
675,R13022,P2,1
676,R13023,P3,1
677,R13024,P4,1
678,R13025,P5,5
679,R13026,P6,1
680,R13027,P7,1
681,R13028,P8,5
682,R13029,P0,1
683,R13030,P1,4
684,R13031,P2,1
685,R13032,P3,4
686,R13033,P4,1
687,R13034,P5,1
688,R13035,P6,5
689,R13036,P7,1
690,R13037,P8,4
691,R13038,P0,1
692,R13039,P1,1
693,R13040,P2,5
694,R13041,P3,1
695,R13042,P4,1
696,R13043,P5,1
697,R13044,P6,1
698,R13045,P7,1
699,R13046,P8,1
700,R13047,P0,5
701,R13048,P1,1
702,R13049,P2,4
703,R13050,P3,4
704,R13051,P4,1
705,R13052,P5,1
706,R13053,P6,1
707,R13054,P7,1
708,R13055,P8,1
709,R13056,P0,4
710,R13057,P1,1
711,R13058,P2,1
712,R13059,P3,1
713,R13060,P4,5
714,R13061,P5,4
715,R13062,P6,1
716,R13063,P7,4
717,R13064,P8,1
718,R13065,P0,5
719,R13066,P1,1
720,R13067,P2,1
721,R13068,P3,1
722,R13069,P4,5
723,R13070,P5,1
724,R13071,P6,5
725,R13072,P7,4
726,R13073,P8,1
727,R13074,P0,5
728,R13075,P1,1
729,R13076,P2,1
730,R13077,P3,4
731,R13078,P4,5
732,R13079,P5,5
733,R13080,P6,5
734,R13081,P7,1
735,R13082,P8,1
736,R13083,P0,1
737,R13084,P1,1
738,R13085,P2,1
739,R13086,P3,1
740,R13087,P4,1
741,R13088,P5,4
742,R13089,P6,1
743,R13090,P7,1
744,R13091,P8,4
745,R13092,P0,4
746,R13093,P1,1
747,R13094,P2,1
748,R13095,P3,1
749,R13096,P4,1
750,R13097,P5,1
751,R13098,P6,4
752,R13099,P7,4
753,R13100,P8,1
754,R13101,P0,1
755,R13102,P1,4
756,R13103,P2,4
757,R13104,P3,1
758,R13105,P4,5
759,R13106,P5,1
760,R13107,P6,1
761,R13108,P7,1
762,R13109,P8,5
763,R13110,P0,1
764,R13111,P1,1
765,R13112,P2,1
766,R13113,P3,1
767,R13114,P4,1
768,R13115,P5,1
769,R13116,P6,1
770,R13117,P7,1
771,R13118,P8,5
772,R13119,P0,1
773,R13120,P1,4
774,R13121,P2,4
775,R13122,P3,1
776,R13123,P4,1
777,R13124,P5,1
778,R13125,P6,5
779,R13126,P7,5
780,R13127,P8,5
781,R13128,P0,1
782,R13129,P1,1
783,R13130,P2,1
784,R13131,P3,1
785,R13132,P4,1
786,R13133,P5,5
787,R13134,P6,5
788,R13135,P7,1
789,R13136,P8,1
790,R13137,P0,1
791,R13138,P1,1
792,R13139,P2,1
793,R13140,P3,1
794,R13141,P4,4
795,R13142,P5,1
796,R13143,P6,1
797,R13144,P7,4
798,R13145,P8,5
799,R13146,P0,4
800,R13147,P1,1
801,R13148,P2,1
802,R13149,P3,4
803,R13150,P4,5
804,R13151,P5,1
805,R13152,P6,5
806,R13153,P7,5
807,R13154,P8,1
808,R13155,P0,4
809,R13156,P1,1
810,R13157,P2,1
811,R13158,P3,1
812,R13159,P4,5
813,R13160,P5,1
814,R13161,P6,1
815,R13162,P7,1
816,R13163,P8,4
817,R13164,P0,1
818,R13165,P1,4
819,R13166,P2,5
820,R13167,P3,1
821,R13168,P4,1
822,R13169,P5,4
823,R13170,P6,5
824,R13171,P7,1
825,R13172,P8,1
826,R13173,P0,4
827,R13174,P1,4
828,R13175,P2,4
829,R13176,P3,1
830,R13177,P4,4
831,R13178,P5,1
832,R13179,P6,1
833,R13180,P7,1
834,R13181,P8,1
835,R13182,P0,1
836,R13183,P1,5
837,R13184,P2,4
838,R13185,P3,1
839,R13186,P4,5
840,R13187,P5,1
841,R13188,P6,1
842,R13189,P7,1
843,R13190,P8,1
844,R13191,P0,4
845,R13192,P1,4
846,R13193,P2,1
847,R13194,P3,1
848,R13195,P4,1
849,R13196,P5,5
850,R13197,P6,1
851,R13198,P7,1
852,R13199,P8,4
853,R13200,P0,5
854,R13201,P1,4
855,R13202,P2,1
856,R13203,P3,1
857,R13204,P4,4
858,R13205,P5,1
859,R13206,P6,4
860,R13207,P7,4
861,R13208,P8,1
862,R13209,P0,4
863,R13210,P1,1
864,R13211,P2,1
865,R13212,P3,4
866,R13213,P4,1
867,R13214,P5,4
868,R13215,P6,4
869,R13216,P7,4
870,R13217,P8,1
871,R13218,P0,1
872,R13219,P1,1
873,R13220,P2,1
874,R13221,P3,4
875,R13222,P4,5
876,R13223,P5,4
877,R13224,P6,5
878,R13225,P7,5
879,R13226,P8,5
880,R13227,P0,1
881,R13228,P1,5
882,R13229,P2,1
883,R13230,P3,5
884,R13231,P4,1
885,R13232,P5,5
886,R13233,P6,1
887,R13234,P7,1
888,R13235,P8,5
889,R13236,P0,1
890,R13237,P1,1
891,R13238,P2,1
892,R13239,P3,5
893,R13240,P4,4
894,R13241,P5,1
895,R13242,P6,5
896,R13243,P7,5
897,R13244,P8,1
898,R13245,P0,1
899,R13246,P1,1
900,R13247,P2,1
901,R13248,P3,4
902,R13249,P4,5
903,R13250,P5,4
904,R13251,P6,1
905,R13252,P7,1
906,R13253,P8,5
907,R13254,P0,1
908,R13255,P1,1
909,R13256,P2,1
910,R13257,P3,1
911,R13258,P4,4
912,R13259,P5,1
913,R13260,P6,1
914,R13261,P7,1
915,R13262,P8,4
916,R13263,P0,4
917,R13264,P1,1
918,R13265,P2,1
919,R13266,P3,5
920,R13267,P4,5
921,R13268,P5,1
922,R13269,P6,1
923,R13270,P7,4
924,R13271,P8,1
925,R13272,P0,1
926,R13273,P1,5
927,R13274,P2,1
928,R13275,P3,4
929,R13276,P4,1
930,R13277,P5,1
931,R13278,P6,1
932,R13279,P7,1
933,R13280,P8,5
934,R13281,P0,4
935,R13282,P1,4
936,R13283,P2,1
937,R13284,P3,1
938,R13285,P4,1
939,R13286,P5,1
940,R13287,P6,4
941,R13288,P7,5
942,R13289,P8,5
943,R13290,P0,1
944,R13291,P1,5
945,R13292,P2,5
946,R13293,P3,1
947,R13294,P4,5
948,R13295,P5,1
949,R13296,P6,1
950,R13297,P7,1
951,R13298,P8,5
952,R13299,P0,5
953,R13300,P1,1
954,R13301,P2,1
955,R13302,P3,1
956,R13303,P4,1
957,R13304,P5,1
958,R13305,P6,1
959,R13306,P7,4
960,R13307,P8,4
961,R13308,P0,4
962,R13309,P1,1
963,R13310,P2,5
964,R13311,P3,1
965,R13312,P4,1
966,R13313,P5,1
967,R13314,P6,1
968,R13315,P7,4
969,R13316,P8,1
970,R13317,P0,4
971,R13318,P1,4
972,R13319,P2,4
973,R13320,P3,4
974,R13321,P4,4
975,R13322,P5,5
976,R13323,P6,4
977,R13324,P7,1
978,R13325,P8,1
979,R13326,P0,1
980,R13327,P1,1
981,R13328,P2,4
982,R13329,P3,1
983,R13330,P4,1
984,R13331,P5,1
985,R13332,P6,5
986,R13333,P7,1
987,R13334,P8,4
988,R13335,P0,4
989,R13336,P1,1
990,R13337,P2,4
991,R13338,P3,4
992,R13339,P4,5
993,R13340,P5,1
994,R13341,P6,4
995,R13342,P7,1
996,R13343,P8,1
997,R13344,P0,1
998,R13345,P1,4
999,R13346,P2,1
1000,R13347,P3,4
1001,R13348,P4,1
1002,R13349,P5,4
1003,R13350,P6,1
1004,R13351,P7,4
1005,R13352,P8,5
1006,R13353,P0,1
1007,R13354,P1,5
1008,R13355,P2,5
1009,R13356,P3,1
1010,R13357,P4,4
1011,R13358,P5,4
1012,R13359,P6,1
1013,R13360,P7,1
1014,R13361,P8,1
1015,R13362,P0,1
1016,R13363,P1,4
1017,R13364,P2,1
1018,R13365,P3,1
1019,R13366,P4,1
1020,R13367,P5,1
1021,R13368,P6,1
1022,R13369,P7,5
1023,R13370,P8,1
1024,R13371,P0,4
1025,R13372,P1,1
1026,R13373,P2,4
1027,R13374,P3,5
1028,R13375,P4,1
1029,R13376,P5,4
1030,R13377,P6,5
1031,R13378,P7,5
1032,R13379,P8,1
1033,R13380,P0,1
1034,R13381,P1,5
1035,R13382,P2,4
1036,R13383,P3,1
1037,R13384,P4,4
1038,R13385,P5,5
1039,R13386,P6,1
1040,R13387,P7,1
1041,R13388,P8,4
1042,R13389,P0,1
1043,R13390,P1,1
1044,R13391,P2,1
1045,R13392,P3,4
1046,R13393,P4,4
1047,R13394,P5,4
1048,R13395,P6,1
1049,R13396,P7,1
1050,R13397,P8,1
1051,R13398,P0,5
1052,R13399,P1,1
1053,R13400,P2,4
1054,R13401,P3,1
1055,R13402,P4,5
1056,R13403,P5,5
1057,R13404,P6,5
1058,R13405,P7,1
1059,R13406,P8,1
1060,R13407,P0,4
1061,R13408,P1,1
1062,R13409,P2,5
1063,R13410,P3,5
1064,R13411,P4,1
1065,R13412,P5,1
1066,R13413,P6,4
1067,R13414,P7,4
1068,R13415,P8,4
1069,R13416,P0,4
1070,R13417,P1,1
1071,R13418,P2,1
1072,R13419,P3,1
1073,R13420,P4,1
1074,R13421,P5,1
1075,R13422,P6,1
1076,R13423,P7,4
1077,R13424,P8,1
1078,R13425,P0,5
1079,R13426,P1,1
1080,R13427,P2,1
1081,R13428,P3,1
1082,R13429,P4,1
1083,R13430,P5,1
1084,R13431,P6,1
1085,R13432,P7,1
1086,R13433,P8,1
1087,R13434,P0,1
1088,R13435,P1,5
1089,R13436,P2,1
1090,R13437,P3,1
1091,R13438,P4,5
1092,R13439,P5,4
1093,R13440,P6,1
1094,R13441,P7,1
1095,R13442,P8,1
1096,R13443,P0,1
1097,R13444,P1,5
1098,R13445,P2,5
1099,R13446,P3,1
1100,R13447,P4,1
1101,R13448,P5,1
1102,R13449,P6,4
1103,R13450,P7,1
1104,R13451,P8,1
1105,R13452,P0,4
1106,R13453,P1,1
1107,R13454,P2,5
1108,R13455,P3,4
1109,R13456,P4,5
1110,R13457,P5,1
1111,R13458,P6,4
1112,R13459,P7,4
1113,R13460,P8,4
1114,R13461,P0,1
1115,R13462,P1,1
1116,R13463,P2,4
1117,R13464,P3,1
1118,R13465,P4,4
1119,R13466,P5,5
1120,R13467,P6,4
1121,R13468,P7,1
1122,R13469,P8,1
1123,R13470,P0,5
1124,R13471,P1,5
1125,R13472,P2,5
1126,R13473,P3,1
1127,R13474,P4,5
1128,R13475,P5,1
1129,R13476,P6,1
1130,R13477,P7,1
1131,R13478,P8,4
1132,R13479,P0,1
1133,R13480,P1,1
1134,R13481,P2,1
1135,R13482,P3,1
1136,R13483,P4,4
1137,R13484,P5,1
1138,R13485,P6,1
1139,R13486,P7,4
1140,R13487,P8,4
1141,R13488,P0,4
1142,R13489,P1,1
1143,R13490,P2,1
1144,R13491,P3,1
1145,R13492,P4,1
1146,R13493,P5,1
1147,R13494,P6,4
1148,R13495,P7,5
1149,R13496,P8,1
1150,R13497,P0,1
1151,R13498,P1,1
1152,R13499,P2,1
1153,R13500,P3,1
1154,R13501,P4,1
1155,R13502,P5,1
1156,R13503,P6,1
1157,R13504,P7,1
1158,R13505,P8,5
1159,R13506,P0,1
1160,R13507,P1,5
1161,R13508,P2,4
1162,R13509,P3,4
1163,R13510,P4,5
1164,R13511,P5,1
1165,R13512,P6,1
1166,R13513,P7,1
1167,R13514,P8,1
1168,R13515,P0,4
1169,R13516,P1,5
1170,R13517,P2,1
1171,R13518,P3,4
1172,R13519,P4,1
1173,R13520,P5,1
1174,R13521,P6,1
1175,R13522,P7,1
1176,R13523,P8,1
1177,R13524,P0,5
1178,R13525,P1,4
1179,R13526,P2,1
1180,R13527,P3,5
1181,R13528,P4,1
1182,R13529,P5,1
1183,R13530,P6,1
1184,R13531,P7,1
1185,R13532,P8,1
1186,R13533,P0,1
1187,R13534,P1,4
1188,R13535,P2,4
1189,R13536,P3,1
1190,R13537,P4,1
1191,R13538,P5,1
1192,R13539,P6,1
1193,R13540,P7,1
1194,R13541,P8,5
1195,R13542,P0,5
1196,R13543,P1,5
1197,R13544,P2,1
1198,R13545,P3,4
1199,R13546,P4,1
1200,R13547,P5,4
1201,R13548,P6,1
1202,R13549,P7,1
1203,R13550,P8,1
1204,R13551,P0,1
1205,R13552,P1,4
1206,R13553,P2,4
1207,R13554,P3,5
1208,R13555,P4,1
1209,R13556,P5,1
1210,R13557,P6,4
1211,R13558,P7,1
1212,R13559,P8,4
1213,R13560,P0,5
1214,R13561,P1,5
1215,R13562,P2,4
1216,R13563,P3,1
1217,R13564,P4,1
1218,R13565,P5,1
1219,R13566,P6,1
1220,R13567,P7,1
1221,R13568,P8,5
1222,R13569,P0,1
1223,R13570,P1,1
1224,R13571,P2,1
1225,R13572,P3,1
1226,R13573,P4,1
1227,R13574,P5,1
1228,R13575,P6,1
1229,R13576,P7,1
1230,R13577,P8,1
1231,R13578,P0,1
1232,R13579,P1,1
1233,R13580,P2,1
1234,R13581,P3,1
1235,R13582,P4,4
1236,R13583,P5,1
1237,R13584,P6,4
1238,R13585,P7,5
1239,R13586,P8,5
1240,R13587,P0,1
1241,R13588,P1,1
1242,R13589,P2,1
1243,R13590,P3,1
1244,R13591,P4,1
1245,R13592,P5,1
1246,R13593,P6,1
